TEXT	GREY = 0 non relevant; WHITE: Peace and Harmony = 1; GREEN: Hope and Prosperity = 2; RED: Blood of the heroes= 3	TRANSLATION
los	0	0
blasones!%	0	0
¡Guerra, guerra!	3	War! War!
Los	0	0
patrios	0	0
pendones%	0	0
En las olas de sangre empapad.%	3	Drenched in the waves of blood
¡Guerra,	3	War!
guerra!	3	War!
En	0	0
el	0	0
monte,	0	0
en	0	0
el	0	0
valle%	0	0
Los cañones horrísonos truenen,%	3	The sound of the horrid cannons
Y	0	0
los	0	0
ecos	0	0
sonoros	0	0
resuenen%	0	0
Con	0	0
las	0	0
voces	0	0
de	0	0
¡Unión! ¡Libertad!%	0	0
¡Con	0	0
las	0	0
voces	0	0
de	0	0
¡Unión! ¡Libertad!!&%	0	0
Antes,	0	0
Patria,	2	Fatherland
que	0	0
inermes	0	0
tus	0	0
hijos%	0	0
bajo el yugo su cuello dobleguen%	3	Under the yoke their necks break
tus campiñas con sangre se rieguen,%	3	Irrigate the fields with blood
sobre sangre se estampe su pie.%	3	Over blood their feet will print
Y	0	0
tus	0	0
templos,	2	Your Temples
palacios	2	Your Palaces
y	0	0
torres%	2	Your Towers
se derrumben con horrido estruendo,%	3	Will collapse in horrid roars
y	0	0
sus	0	0
ruinas	3	Ruins
existan	0	0
diciendo:%	0	0
de	0	0
de mil héroes	2	Of a Thousand Heroes
la patria aquí fue.%	2	Our Fatherland existed here
¡De mil héroes	2	Of a Thousand Heroes
la patria aquí fue!&%	2	Our Fatherland existed here
Si	0	0
a	0	0
la	0	0
lid	0	0
contra hueste enemiga%	3	Against Enemy hordes
nos	0	0
convoca	0	0
la	0	0
trompa guerrera,%	3	War trumpet
de	0	0
Iturbide	0	0
la	0	0
sacra bandera%	2	Sacred Flag
¡Mexicanos!	0	0
valientes	2	Brave
seguid.%	0	0
Y	0	0
a	0	0
los	0	0
fieros bridones	2	Fierce Bridoons
les	0	0
sirvan%	0	0
las	0	0
vencidas	0	0
enseñas	0	0
de	0	0
alfombra:%	0	0
los	0	0
laureles del triunfo	2	Laurels of Triumph
den	0	0
sombra%	0	0
a	0	0
la	0	0
frente	0	0
del	0	0
bravo	0	0
adalid.%	0	0
¡A	0	0
la	0	0
frente	0	0
del	0	0
bravo	0	0
adalid!&%	0	0
Vuelva altivo	1	Back alive
a	0	0
los	0	0
patrios hogares%	1	On our fatherland's homes
el guerrero a contar su victoria%	1	The Warrior tells tales of Victory
ostentando	0	0
las	0	0
palmas de gloria%	2	Palms of Glory
que	0	0
supiera	0	0
en	0	0
la	0	0
lid	0	0
conquistar.%	0	0
Tornáranse	0	0
sus	0	0
lauros sangrientos%	3	Bloody Laurels
en	0	0
guirnaldas de mirtos y rosas%	1	Garlands of myrtle and roses
que	0	0
el amor de las hijas y esposas%	1	The Love of Daughters and Wives
también	0	0
sabe	0	0
a	0	0
los	0	0
bravos	0	0
premiar.%	0	0
¡También	0	0
sabe	0	0
a	0	0
los	0	0
bravos	0	0
premiar!&%	0	0
Y	0	0
el	0	0
que	0	0
al	0	0
golpe de ardiente metralla%	3	The strike of burning shrapnel
de	0	0
la Patria	2	Our Fatherland
en	0	0
las	0	0
aras	0	0
sucumba%	0	0
obtendrá	0	0
en recompensa una tumba%	3	A grave is his prize
donde	0	0
brille	0	0
de	0	0
gloria	0	0
la	0	0
luz.%	0	0
Y	0	0
de	0	0
Iguala	0	0
la	0	0
enseña	0	0
querida%	0	0
a	0	0
su	0	0
espada sangrienta%	3	Bloody Sword
enlazada,	0	0
de	0	0
laurel inmortal	2	Immortal Laurels
coronada,%	0	0
formará	0	0
de	0	0
su	0	0
fosa	0	0
la	0	0
cruz.%	0	0
¡Formará	0	0
de	0	0
su	0	0
fosa	0	0
la	0	0
cruz!&%	0	0
¡Patria!	2	Fatherland!
¡Patria!	2	Fatherland!
tus	0	0
hijos	0	0
te	0	0
juran%	0	0
exhalar	0	0
en	0	0
tus	0	0
aras	0	0
su	0	0
aliento,%	0	0
si	0	0
el	0	0
clarín	0	0
con	0	0
su	0	0
bélico acento%	3	Belligerent Tone
los	0	0
convoca	0	0
a	0	0
lidiar con valor.%	3	Fight with Strength
¡Para	0	0
ti	0	0
las	0	0
guirnaldas	0	0
de	0	0
oliva;%	0	0
¡un	0	0
recuerdo	1	Memories of glory
para	0	0
ellos	0	0
de	0	0
gloria!%	1	Memories of Glory
¡un	0	0
laurel	2	Laurel of Victory
para	0	0
ti	0	0
de victoria;%	2	Laurel of Victory
¡un	0	0
sepulcro	3	Honorable Tomb
para	0	0
ellos	0	0
de	0	0
honor!%	2	Honorable Tomb
¡Un	0	0
sepulcro	3	Honorable Tomb
para	0	0
ellos	0	0
de	0	0
honor!&%	2	Honorable Tomb
