Awardee,Estimated Total Award Amount,Agency
MATERIALS RESEARCH SOCIETY,"$40,000",NSF
UNIVERSITY OF ARKANSAS SYSTEM,"$270,000",NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,"$34,600",NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,"$1,100,000",NSF
TRUSTEES OF BOSTON UNIVERSITY,"$39,729",NSF
UNIVERSITY OF TEXAS AT AUSTIN,"$4,000",NSF
"UNIVERSITY OF CALIFORNIA, LOS ANGELES","$9,794",NSF
UNIVERSITY OF ROCHESTER,"$950,000",NSF
UNIVERSITY OF CALIFORNIA MERCED,"$150,337",NSF
TRUSTEES OF BOSTON UNIVERSITY,"$30,000",NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,"$45,000",NSF
TRUSTEES OF BOSTON UNIVERSITY,,NASA
REGENTS OF THE UNIVERSITY OF MICHIGAN,,NASA
"OPTIMAL SOLUTIONS, INC","$225,000",NSF
"NOVA PHOTONICS, INC.","$224,833",NSF
"CEPAND, INC.","$225,000",NSF
"LASX INDUSTRIES, INC.","$220,971",NSF
MICROREACTOR SOLUTIONS LLC,"$225,000",NSF
UNIVERSITY OF MONTANA SYSTEM,"$47,814",NSF
NANOPIXEL TECHNOLOGIES LLC,"$225,000",NSF
POLYMERPLUS LLC,"$225,000",NSF
UNIVERSITY OF ALABAMA AT BIRMINGHAM,"$525,000",NSF
"IMBED BIOSCIENCES, INC","$150,000",NSF
"UNIVERSITY OF NEW HAVEN, INCORPORATED","$292,145",NSF
"UNIVERSITY OF UTAH, THE","$400,000",NSF
TEXAS A&M ENGINEERING EXPERIMENT STATION,"$49,900",NSF
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,"$246,000",NSF
PRAGYA SYSTEMS CORP.,"$150,000",NSF
"EDVOTEK, INC.","$150,000",NSF
UNIVERSITY OF MISSOURI SYSTEM,"$155,383",NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$133,180",NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,"$53,906",NSF
"VANDERBILT UNIVERSITY, THE","$400,000",NSF
GREEN SULFCRETE LLC,"$149,890",NSF
OPTIMIZED MARKETS INC.,"$150,000",NSF
NATIONAL ACADEMY OF SCIENCES,"$880,926",NSF
CLEMSON UNIVERSITY,"$579,673",NSF
BIOMASON,"$149,935",NSF
COLORADO STATE UNIVERSITY,"$349,064",NSF
"TIER 1 PERFORMANCE SOLUTIONS, LLC","$149,959",NSF
BIODRILL TECHNICAL SOLUTIONS LLC,"$225,000",NSF
"AETHENA GROUP, LLC, THE","$149,993",NSF
PREDICTIVE TECHNOLOGIES CORPORATION,"$140,745",NSF
"SMALTEC INTERNATIONAL, LLC","$150,000",NSF
UNIVERSITY OF MEMPHIS,"$13,000",NSF
OLD DOMINION UNIVERSITY RESEARCH FOUNDATION,"$405,687",NSF
UNIVERSITY OF SOUTHERN MISSISSIPPI,"$350,000",NSF
"BIO-ADHESIVE ALLIANCE, INC","$225,000",NSF
"SOLUTION DEPOSITION SYSTEMS, INC.","$225,000",NSF
TUTORGEN,"$225,000",NSF
"SCALE2MARKET, LLC","$150,000",NSF
NORTH CAROLINA STATE UNIVERSITY,"$550,000",NSF
"BENSON HILL BIOSYSTEMS, INC.","$224,170",NSF
"CALIFORNIA STATE UNIVERSITY, LONG BEACH RESEARCH FOUNDATION","$380,000",NSF
"ROBOCASTING ENTERPRISES, LLC","$150,000",NSF
UNIVERSITY OF ALABAMA AT BIRMINGHAM,"$19,000",NSF
"UNIVERSITY OF CALIFORNIA, SAN DIEGO","$400,000",NSF
ADVANCED MEDICAL ELECTRONICS CORPORATION,"$224,879",NSF
CATHOLIC UNIVERSITY OF AMERICA (THE),,NASA
UNIVERSITY OF ALABAMA IN HUNTSVILLE,,NASA
"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",,NASA
UNIVERSITY OF WASHINGTON,,NASA
SPACE SCIENCE INSTITUTE,,NASA
UNIVERSITIES SPACE RESEARCH ASSOCIATION,,NASA
NORTHWESTERN UNIVERSITY,,NASA
"UNIVERSITY OF CALIFORNIA, LOS ANGELES",,NASA
BRANDEIS UNIVERSITY,"$300,000",NSF
UNIVERSITY OF ILLINOIS,"$400,000",NSF
REGENTS OF THE UNIVERSITY OF IDAHO,"$13,745",NSF
UNIVERSITY OF FLORIDA,,NASA
MISSISSIPPI STATE UNIVERSITY,,NASA
ARIZONA STATE UNIVERSITY,,NASA
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",,NASA
WAYNE STATE UNIVERSITY (INC),,NASA
REGENTS OF THE UNIVERSITY OF MINNESOTA,,NASA
"PENNSYLVANIA STATE UNIVERSITY, THE",,NASA
"TRIBO FLOW SEPARATIONS, LLC","$150,000",NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE","$23,357",NSF
"CORNELL UNIVERSITY, INC","$22,278",NSF
SILEXTA INC.,"$150,000",NSF
TRUSTEES OF THE COLORADO SCHOOL OF MINES,"$125,880",NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,"$15,609",NSF
"BILLOW, INC.","$150,000",NSF
"PRODUCT INNOVATION AND ENGINEERING, LLC","$150,000",NSF
ASTRILEUX CORPORATION,"$150,000",NSF
"TRIAD DIGITAL MEDIA, INC","$150,000",NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE","$476,146",NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,"$400,000",NSF
GEORGE MASON UNIVERSITY,"$150,000",NSF
"UNIVERSITY OF CALIFORNIA, LOS ANGELES","$1,608,143",NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,"$1,224,000",NSF
UNIVERSITY OF CONNECTICUT,"$103,029",NSF
SOUTHWEST RESEARCH INSTITUTE,,NASA
"JOHNS HOPKINS UNIVERSITY, THE",,NASA
UNIVERSITY OF NEBRASKA,,NASA
UNIVERSITY OF ALASKA FAIRBANKS,,NASA
"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",,NASA
MICHIGAN TECHNOLOGICAL UNIVERSITY,,NASA
"CORNELL UNIVERSITY, INC",,NASA
"REGENTS OF THE UNIVERSITY OF COLORADO, THE",,NASA
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",,NASA
UNIVERSITY OF MASSACHUSETTS,"$278,030",NSF
NORTHEASTERN UNIVERSITY,"$77,747",NSF
UNIVERSITY OF WASHINGTON,"$29,778",NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,"$400,000",NSF
UNIVERSITY OF DELAWARE,"$700,000",NSF
UNIVERSITY OF PUERTO RICO,"$1,960,000",NSF
UNIVERSITY OF WISCONSIN SYSTEM,"$11,768",NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE","$49,796",NSF
"BARROSTAT MEDICAL, INC.","$149,681",NSF
"PENNSYLVANIA STATE UNIVERSITY, THE","$400,000",NSF
"RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE","$242,733",NSF
C-MOTIVE TECHNOLOGIES INC.,"$150,000",NSF
UNIVERSITY OF WISCONSIN SYSTEM,"$15,000",NSF
MICHIGAN STATE UNIVERSITY,"$19,250",NSF
UNIVERSITY OF MARYLAND,"$400,000",NSF
OREGON STATE UNIVERSITY,"$95,546",NSF
"CORNELL UNIVERSITY, INC","$572,235",NSF
UNIVERSITY OF TEXAS AT ARLINGTON,"$25,415",NSF
UNIVERSITY OF ALASKA FAIRBANKS,"$370,744",NSF
UNIVERSITY OF ARIZONA,"$785,542",NSF
YALE UNIVERSITY,"$1,655,953",NSF
ONCUE AUTOMATION,"$149,349",NSF
AMERICAN SOCIOLOGICAL ASSN.,"$66,000",NSF
"AIR SQUARED, INC.","$149,820",NSF
NORTH CAROLINA STATE UNIVERSITY,"$400,000",NSF
UNIVERSITY OF NEBRASKA,"$400,000",NSF
SYRACUSE UNIVERSITY,"$622,123",NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,"$13,205",NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,"$400,000",NSF
UNIVERSITY OF FLORIDA,,NASA
UNIVERSITY OF MARYLAND,,NASA
UNIVERSITY OF WISCONSIN SYSTEM,,NASA
"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY","$400,000",NSF
NORTHEASTERN UNIVERSITY,"$290,615",NSF
NEW JERSEY INSTITUTE OF TECHNOLOGY,,NASA
REGENTS OF THE UNIVERSITY OF MICHIGAN,,NASA
SAN DIEGO STATE UNIVERSTIY FOUNDATION,,NASA
"UNIVERSITY OF CALIFORNIA, LOS ANGELES",,NASA
"MONTANA STATE UNIVERSITY, INC",,NASA
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$129,997",NSF
UNIVERSITY OF HAWAII SYSTEMS,"$71,170",NSF
UNIVERSITY OF WASHINGTON,"$223,950",NSF
DREXEL UNIVERSITY,"$400,000",NSF
WILLIAM MARSH RICE UNIVERSITY,"$49,595",NSF
"CORNELL UNIVERSITY, INC","$10,419",NSF
WOODS HOLE OCEANOGRAPHIC INSTITUTION,"$1,545,515",NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,"$224,892",NSF
WASHINGTON STATE UNIVERSITY,"$399,647",NSF
NORTH CAROLINA STATE UNIVERSITY,"$468,723",NSF
"CORNELL UNIVERSITY, INC","$39,895",NSF
UNIVERSITY OF WASHINGTON,"$165,858",NSF
NORTH CAROLINA STATE UNIVERSITY,"$5,000",NSF
UNIVERSITY OF WASHINGTON,"$23,190",NSF
"UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.","$118,151",NSF
"RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE","$25,169",NSF
SOUTHERN ILLINOIS UNIVERSITY,"$13,850",NSF
"HARVARD COLLEGE, PRESIDENT & FELLOWS OF","$1,499,683",NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,"$29,999",NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,"$1,219,960",NSF
"UNIVERSITY OF CALIFORNIA, SAN DIEGO","$15,167",NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE","$400,000",NSF
UNIVERSITY OF NOTRE DAME DU LAC,"$23,940",NSF
"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY","$21,176",NSF
"UNIVERSITY OF KANSAS CENTER FOR RESEARCH, INC.","$24,601",NSF
"CORNELL UNIVERSITY, INC","$750,000",NSF
UNIVERSITY OF RHODE ISLAND,"$25,000",NSF
UNIVERSITY OF MONTANA SYSTEM,,NASA
TRUSTEES OF TUFTS COLLEGE INC,,NASA
NORTHWESTERN UNIVERSITY,,NASA
"JOHNS HOPKINS UNIVERSITY, THE",,NASA
"UNIVERSITY OF CALIFORNIA, IRVINE",,NASA
ARIZONA STATE UNIVERSITY,,NASA
UNIVERSITY OF NOTRE DAME DU LAC,,NASA
"REGENTS OF THE UNIVERSITY OF COLORADO, THE",,NASA
CATHOLIC UNIVERSITY OF AMERICA (THE),,NASA
UNIVERSITY SYSTEM OF NEW HAMPSHIRE,,NASA
SETI INSTITUTE,,NASA
TRUSTEES OF TUFTS COLLEGE INC,"$74,086",NSF
CASE WESTERN RESERVE UNIVERSITY,"$711,017",NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,"$638,788",NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$20,222",NSF
"WASHINGTON UNIVERSITY, THE","$210,682",NSF
GEORGE MASON UNIVERSITY,"$111,816",NSF
PORTLAND STATE UNIVERSITY,"$750,000",NSF
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,"$300,181",NSF
TRUSTEES OF BOSTON UNIVERSITY,"$24,314",NSF
UNIVERSITY OF CINCINNATI,"$475,995",NSF
UNIVERSITY OF WASHINGTON,,NASA
NORTHWESTERN UNIVERSITY,,NASA
"UNIVERSITY OF CHICAGO, THE",,NASA
"AMERICAN SOCIETY FOR CELL BIOLOGY, THE","$1,259,171",NSF
"UNIVERSITY OF IOWA, THE","$15,070",NSF
"VOLTMED, INC.","$225,000",NSF
"FLORIDA MEMORIAL UNIVERSITY, INC.","$293,421",NSF
UNIVERSITY OF MASSACHUSETTS,"$400,000",NSF
PURDUE UNIVERSITY,"$166,389",NSF
UNIVERSITY OF CENTRAL FLORIDA,"$4,933",NSF
"LELAND STANFORD JUNIOR UNIVERSITY, THE","$44,999",NSF
UNIVERSITY OF MIAMI,"$400,000",NSF
"TRUSTEES OF PRINCETON UNIVERSITY, THE","$103,632",NSF
"LELAND STANFORD JUNIOR UNIVERSITY, THE","$400,000",NSF
"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY","$22,500",NSF
ARIZONA STATE UNIVERSITY,"$200,000",NSF
"NEXTINPUT, INC.","$150,000",NSF
"AEOLUS BUILDING EFFICIENCY, INC","$224,914",NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,"$400,000",NSF
"APPSCALE SYSTEMS, INC","$150,000",NSF
CIRTEMO CORPORATION,"$149,832",NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,"$451,768",NSF
"SYZYGY MEMORY PLASTICS CORP., THE","$150,000",NSF
"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",,NASA
UNIVERSITY OF TEXAS - PAN AMERICAN,"$50,000",NSF
"ETAPHASE, INCORPORATED","$150,000",NSF
THRUPORE TECHNOLOGIES LLC,"$150,000",NSF
"UNIVERSITY OF CHICAGO, THE","$449,350",NSF
"SUBWAY LABS, INC","$150,000",NSF
ANGION BIOMEDICA CORP.,"$149,761",NSF
UNIVERSITY OF ROCHESTER,"$400,000",NSF
DYNAMIC IDEAS LLC,"$150,000",NSF
OCEAN NANO TECH LLC,"$225,000",NSF
UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE,"$50,000",NSF
"KINDERLAB ROBOTICS, INC.","$150,000",NSF
MOAI TECHNOLOGIES LLC,"$224,503",NSF
"SENSULIN, LLC","$225,000",NSF
ELLIS INDUSTRIAL DESIGN LLC,"$150,000",NSF
MICHIGAN STATE UNIVERSITY,"$400,000",NSF
AMORPHYX INC,"$150,000",NSF
VORCAT INC,"$150,000",NSF
NORTHEASTERN UNIVERSITY,"$400,000",NSF
ATOM INC,"$149,999",NSF
EYE-PREDICT LLC,"$150,000",NSF
"PENNSYLVANIA STATE UNIVERSITY, THE","$436,944",NSF
TALLANNQUEST LLC,"$150,000",NSF
AMERICAN MATHEMATICAL SOCIETY,"$295,111",NSF
"OPTIMAL PROCESS TECHNOLOGIES, LLC","$149,226",NSF
"POLYK TECHNOLOGIES, LLC","$150,000",NSF
HONEYBEE ROBOTICS LTD,"$149,883",NSF
FOLIO PHOTONICS LLC,"$150,000",NSF
"EIE MATERIALS, INC","$150,000",NSF
PROTABIT LLC,"$225,000",NSF
DIMIEN LLC,"$149,348",NSF
GEORGE MASON UNIVERSITY,"$160,000",NSF
"MAVRIC SEMICONDUCTOR, INC.","$149,734",NSF
LONGEVITY BIOTECH,"$150,000",NSF
C2SENSE LLC,"$145,500",NSF
"UNIVERSITY OF CALIFORNIA, SAN DIEGO","$50,000",NSF
INVENTEK CORP,"$149,984",NSF
UNIVERSITY OF MARYLAND BALTIMORE COUNTY,"$400,000",NSF
EARTHCLEAN CORP,"$149,468",NSF
T3MEMORY USA INC,"$137,763",NSF
GREEN SCHINGLE LLC,"$150,000",NSF
SONATA BIOSCIENCES INC,"$150,000",NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,"$50,000",NSF
APPLIED NOVEL DEVICES,"$149,991",NSF
"CONEXTIONS, INC.","$150,000",NSF
ANDROSROBOTICS LLC,"$225,000",NSF
"LASER PRISMATICS, LLC","$149,999",NSF
"NA 4 B, LLC","$150,000",NSF
"NANORIDGE MATERIALS, INC.","$224,994",NSF
"NEAR EARTH AUTONOMY, INC.","$224,850",NSF
"ENCLAVIX, LLC","$150,000",NSF
"HIGH TECHNOLOGY MATERIALS, LLC","$205,075",NSF
UNIVERSITY OF WYOMING,"$8,407",NSF
COLORADO STATE UNIVERSITY,"$11,475",NSF
J&F ENTERPRISE,,NASA
UNIVERSITY OF PITTSBURGH THE,,NASA
SMITHSONIAN INSTITUTION,,NASA
SETI INSTITUTE,,NASA
UNIVERSITY OF ALASKA FAIRBANKS,"$33,161",NSF
BROWN UNIVERSITY IN PROVIDENCE IN STATE OF RI AND PROVIDENCE PLANTATIONS,"$136,617",NSF
UNIVERSITY OF HOUSTON SYSTEM,"$45,500",NSF
"ARCTIC RESEARCH CONSORTIUM OF THE UNITED STATES, INCORPORATED","$697,102",NSF
TRUSTEES OF THE COLORADO SCHOOL OF MINES,"$136,353",NSF
UNIVERSITY OF TEXAS AT AUSTIN,,NASA
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,"$18,000",NSF
COLORADO STATE UNIVERSITY,"$14,000",NSF
TRUSTEES OF BOSTON UNIVERSITY,"$760,000",NSF
UNIVERSITY OF WASHINGTON,"$197,028",NSF
"RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE","$17,808",NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,"$750,000",NSF
BOWDOIN COLLEGE,"$797,395",NSF
"POLYDROP, LLC","$225,000",NSF
"AMEBAGONE, LLC","$149,243",NSF
"LUMANY, LLC","$225,000",NSF
"UNIVERSITY OF CHICAGO, THE","$500,959",NSF
INTELLIGENT COMPUTER PROGRAMMING LABS INC.,"$128,004",NSF
JUDICIARY COURTS OF THE COMMONWEALTH OF VIRGINIA,,NASA
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,NASA
"UNIVERSITY OF CALIFORNIA, SAN DIEGO","$23,000",NSF
"TPHOTONICS, INC.","$150,000",NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,"$10,997",NSF
"ECOLOGICAL SOCIETY OF AMERICA, INCORPORATED","$35,257",NSF
"UNIVERSITY OF CALIFORNIA, DAVIS","$35,000",NSF
"CORNELL UNIVERSITY, INC","$1,940,000",NSF
PREMITEC INC,"$212,116",NSF
TRUSTEES OF TUFTS COLLEGE INC,"$570,000",NSF
HELMHOLTZ-ZENTRUM POTSDAM - DEUTSCHES GEOFORSCHUNGSZENTRUM GFZ,"$4,250,000",NSF
IDAHO STATE UNIVERSITY,"$2,500,000",NSF
DUKE UNIVERSITY,"$4,899,999",NSF
MATERIALS RESEARCH SOCIETY,"$7,000",NSF
SMITHSONIAN INSTITUTION,"$219,459",NSF
LOUISIANA STATE UNIVERSITY SYSTEM,"$15,000",NSF
UNIVERSITY OF ILLINOIS,"$4,899,997",NSF
UNIVERSITY SYSTEM OF NEW HAMPSHIRE,"$4,900,000",NSF
YALE UNIVERSITY,"$15,000",NSF
SONOVOL LLC,"$225,000",NSF
APPLIED QUANTUM ENOVATION LLC,"$225,000",NSF
UNIVERSITY OF CONNECTICUT,"$901,103",NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE",,NASA
"NATIONAL COUNCIL FOR SCIENCE AND THE ENVIRONMENT, THE",,NASA
EAST CAROLINA UNIVERSITY,,NASA
,"$172,000",NSF
TRUSTEES OF DARTMOUTH COLLEGE,"$17,465,400",NSF
GEORGE MASON UNIVERSITY,"$73,750",NSF
DOT METRICS TECHNOLOGIES INC,"$149,135",NSF
NVIEW MEDICAL INC.,"$150,000",NSF
WESTERN MICHIGAN UNIVERSITY,"$12,000",NSF
VERAPHOTONICS INC,"$207,172",NSF
UNIVERSITY OF HAWAII SYSTEMS,"$89,511",NSF
BIOSENSOR TECH LLC,"$150,000",NSF
"OHIO STATE UNIVERSITY, THE","$462,813",NSF
FLORIDA INTERNATIONAL UNIVERSITY,"$49,000",NSF
UNIVERSITY OF WISCONSIN SYSTEM,"$968,953",NSF
"IP SHAKTI, LLC","$150,000",NSF
GEORGIA TECH RESEARCH CORPORATION,"$13,000",NSF
TEXAS A & M UNIVERSITY,"$700,000",NSF
ARQBALL LLC,"$150,000",NSF
"IMPULSONIC, INC","$149,808",NSF
STF TECHNOLOGIES LLC,"$225,000",NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE",,NASA
BAY AREA ENVIRONMENTAL RESEARCH INSTITUTE INC,,NASA
UNIVERSITY OF TENNESSEE,,NASA
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",,NASA
CARNEGIE MELLON UNIVERSITY,,NASA
ARIZONA STATE UNIVERSITY,,NASA
490 BIOTECH INC,"$150,000",NSF
UNIVERSITY OF MASSACHUSETTS,"$48,051",NSF
M2 PHOTONICS INNOVATIONS,"$225,000",NSF
MICROSOL TECHNOLOGIES INC.,"$149,613",NSF
MSP CORPORATION,"$150,000",NSF
"NANOMEDTRIX, LLC","$150,000",NSF
OREGON STATE UNIVERSITY,"$320,709",NSF
NANOAFFIX SCIENCE LLC,"$150,000",NSF
REBOUND TECHNOLOGY LLC,"$141,507",NSF
RENSSELAER POLYTECHNIC INSTITUTE,"$65,755",NSF
"ACCLIMA, INC.","$150,000",NSF
"ARYTHA BIOSCIENCES, LLC","$150,000",NSF
DEVICEFARM,"$150,000",NSF
STASYS MEDICAL CORPORATION,"$149,993",NSF
WOODS HOLE OCEANOGRAPHIC INSTITUTION,"$94,702",NSF
SONITRACK SYSTEMS,"$150,000",NSF
"BACTERIAL ROBOTICS, LLC","$150,000",NSF
OREGON STATE UNIVERSITY,"$141,950",NSF
"UNIVERSITY OF CALIFORNIA, LOS ANGELES","$34,549",NSF
PACKET DIGITAL LLC,"$150,000",NSF
MOJO LABS INC,"$149,933",NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,"$400,000",NSF
SENSORHOUND INNOVATIONS LLC,"$150,000",NSF
CATHOLIC UNIVERSITY OF AMERICA (THE),,NASA
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",,NASA
UNIVERSITY OF ILLINOIS,,NASA
"HARVARD COLLEGE, PRESIDENT & FELLOWS OF",,NASA
"FIRESTAR ENGINEERING, LLC","$149,980",NSF
UNIVERSITY OF MISSOURI SYSTEM,"$74,209",NSF
NOTSOLDSEPARATELY.COM LLC,"$224,999",NSF
"VANDERBILT UNIVERSITY, THE","$32,200",NSF
"PENNSYLVANIA STATE UNIVERSITY, THE","$249,421",NSF
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,"$50,000",NSF
WORCESTER POLYTECHNIC INSTITUTE,"$50,000",NSF
"UNIVERSITY OF CALIFORNIA, DAVIS","$400,000",NSF
UNIVERSITY OF CONNECTICUT,"$203,500",NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,"$50,000",NSF
"CORNELL UNIVERSITY, INC","$50,000",NSF
"UNIVERSITY OF TOLEDO, THE","$50,000",NSF
SAN FRANCISCO STATE UNIVERSITY,"$15,791",NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,"$400,000",NSF
VISTEX COMPOSITES LLC,"$150,000",NSF
WOODS HOLE OCEANOGRAPHIC INSTITUTION,"$48,279",NSF
BAYLOR UNIVERSITY,"$169,070",NSF
TENNESSEE TECHNOLOGICAL UNIVERSITY,"$50,000",NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,"$330,030",NSF
"UNIVERSITY OF CALIFORNIA, DAVIS","$495,549",NSF
OREGON STATE UNIVERSITY,"$112,494",NSF
LOYOLA MARYMOUNT UNIVERSITY INC,"$55,465",NSF
UNIVERSITY OF OKLAHOMA,,NASA
UNIVERSITY OF WISCONSIN SYSTEM,,NASA
"PENNSYLVANIA STATE UNIVERSITY, THE",,NASA
UNIVERSITY OF MARYLAND,,NASA
"WASHINGTON UNIVERSITY, THE",,NASA
CALIFORNIA INSTITUTE OF TECHNOLOGY,,NASA
UNIVERSITY OF TEXAS AT AUSTIN,"$65,071",NSF
